"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"89","충청북도 청주시 흥덕구 비하동","6**","다가구","8m미만","412.93","239.00","202507","07","71,500","개인","개인","2013","청향로23번길","-","중개거래","충북 청주시 흥덕구"
"90","충청북도 청주시 흥덕구 가경동","1***","다가구","12m미만","353.63","221.90","202507","04","54,000","개인","개인","2011","서현서로29번길","-","중개거래","충북 청주시 흥덕구"
"91","충청북도 청주시 흥덕구 동막동","4**","단독","8m미만","91.17","660.00","202507","03","32,000","개인","개인","2014","동막로361번길","-","중개거래","충북 청주시 흥덕구"
"92","충청북도 청주시 흥덕구 복대동","2***","다가구","12m미만","197.99","222.20","202507","02","23,000","개인","개인","1991","장구봉로137번길","-","중개거래","충북 청주시 흥덕구"
"93","충청북도 청주시 흥덕구 오송읍 궁평리","2**","단독","8m미만","42.28","216.00","202507","02","35,770","개인","개인","2015","궁평길","-","중개거래","충북 청주시 흥덕구"
"94","충청북도 청주시 흥덕구 복대동","1***","단독","12m미만","345.81","193.30","202506","30","42,000","개인","법인","1993","복대로118번길","-","중개거래","충북 청주시 흥덕구"
"95","충청북도 청주시 흥덕구 옥산면 덕촌리","6*","단독","8m미만","100.31","944.00","202506","25","14,700","개인","개인","1984","덕촌괴동길","-","직거래","-"
"96","충청북도 청주시 흥덕구 봉명동","6**","단독","8m미만","398.60","206.00","202506","22","92,000","개인","개인","2017","직지대로639번길","-","중개거래","충북 청주시 흥덕구"
"97","충청북도 청주시 흥덕구 봉명동","9**","다가구","8m미만","462.69","252.30","202506","21","60,000","개인","개인","2008","1순환로585번길","-","중개거래","충북 청주시 흥덕구"
"98","충청북도 청주시 흥덕구 오송읍 만수리","6**","다가구","12m미만","362.79","260.10","202506","20","66,000","개인","개인","2009","만수길","-","중개거래","충북 청주시 흥덕구"
"99","충청북도 청주시 흥덕구 복대동","1***","단독","8m미만","253.32","181.00","202506","20","22,000","개인","개인","1989","복대로162번길","-","직거래","-"
"100","충청북도 청주시 흥덕구 가경동","1***","다가구","8m미만","338.40","228.10","202506","20","59,500","개인","개인","2010","서현중로23번길","-","중개거래","충북 청주시 흥덕구"
"101","충청북도 청주시 흥덕구 가경동","1***","다가구","12m미만","316.68","189.90","202506","20","33,000","개인","개인","1999","장구봉로26번길","-","중개거래","충북 청주시 서원구, 충북 청주시 흥덕구"
"102","충청북도 청주시 흥덕구 복대동","3**","다가구","8m미만","181.77","165.00","202506","19","31,600","개인","개인","1994","대신로40번길","20250919","중개거래","충북 청주시 흥덕구"
"103","충청북도 청주시 흥덕구 가경동","1***","다가구","12m미만","207.01","188.10","202506","17","25,800","개인","개인","1993","가경로161번길","-","중개거래","충북 청주시 흥덕구"
"104","충청북도 청주시 흥덕구 복대동","2***","단독","12m미만","245.52","226.20","202506","17","33,000","개인","개인","1992","장구봉로137번길","-","중개거래","충북 청주시 흥덕구"
"105","충청북도 청주시 흥덕구 오송읍 봉산리","1***","다가구","12m미만","494.19","276.50","202506","17","139,000","개인","법인","2024","봉산2길","-","중개거래","충북 청주시 흥덕구"
"106","충청북도 청주시 흥덕구 복대동","2***","다가구","12m미만","366.36","204.20","202506","15","44,500","개인","개인","2000","증안로54번길","-","직거래","-"
"107","충청북도 청주시 흥덕구 가경동","1***","단독","25m미만","311.08","192.00","202506","15","55,000","개인","개인","1998","경산로","-","중개거래","충북 청주시 흥덕구"
