"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 서원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"85","충청북도 청주시 서원구 분평동","1255","1255","0000","주은프레지던트","137.5040","202510","21","33,500","-","18","개인","개인","2001","1순환로1137번길 79","-","중개거래","충북 청주시 서원구","-"
"86","충청북도 청주시 서원구 분평동","1200","1200","0000","분평주공3","59.9900","202510","21","14,800","-","4","개인","개인","1997","1순환로1137번길 130","-","중개거래","충북 청주시 서원구","-"
"87","충청북도 청주시 서원구 죽림동","295","0295","0000","청주가경3주공","51.7400","202510","21","15,400","-","8","개인","법인","2003","대림로 493","-","중개거래","충북 청주시 서원구","-"
"88","충청북도 청주시 서원구 개신동","613","0613","0000","휴먼시아","49.9300","202510","21","14,600","-","21","개인","개인","2001","경신로 67","-","중개거래","충북 청주시 서원구","-"
"89","충청북도 청주시 서원구 모충동","117-2","0117","0002","서원아파트","30.7800","202510","21","3,850","-","3","개인","개인","1987","구룡산로389번길 79","-","중개거래","충북 청주시 상당구","-"
"90","충청북도 청주시 서원구 모충동","251-1","0251","0001","형석","49.5900","202510","21","8,500","마","5","개인","개인","1985","남들로35번길 61","-","직거래","-","25.10.29"
"91","충청북도 청주시 서원구 성화동","939","0939","0000","성화호반베르디움","84.8572","202510","21","33,000","107","2","개인","개인","2012","구룡산로 24","-","중개거래","충북 청주시 서원구","25.10.21"
"92","충청북도 청주시 서원구 산남동","669","0669","0000","유승한내들","59.8886","202510","21","19,500","102","11","개인","개인","2007","두꺼비로 109","-","중개거래","충북 청주시 서원구","25.10.21"
"93","충청북도 청주시 서원구 성화동","939","0939","0000","성화호반베르디움","84.8572","202510","20","35,000","-","20","개인","개인","2012","구룡산로 24","-","중개거래","충북 청주시 서원구","-"
"94","충청북도 청주시 서원구 개신동","634","0634","0000","청주개신푸르지오","84.7750","202510","20","28,000","409","4","개인","개인","2004","신율로 13","-","중개거래","충북 청주시 서원구","25.10.31"
"95","충청북도 청주시 서원구 사직동","931","0931","0000","푸르지오캐슬(101~117)","84.4000","202510","20","29,600","-","15","개인","개인","2010","예체로 68","-","중개거래","충북 청주시 서원구","-"
"96","충청북도 청주시 서원구 분평동","1360","1360","0000","분평주공5단지아파트","59.7100","202510","20","14,000","-","12","개인","개인","1998","분평로 88-1","-","중개거래","충북 청주시 서원구","-"
"97","충청북도 청주시 서원구 개신동","613","0613","0000","휴먼시아","59.9000","202510","20","17,000","-","5","개인","개인","2001","경신로 67","-","중개거래","충북 청주시 서원구","-"
"98","충청북도 청주시 서원구 모충동","553","0553","0000","청주모충LH트릴로채","84.8800","202510","19","35,500","-","13","개인","개인","2021","쌍샘로 22","-","중개거래","충북 청주시 서원구","-"
"99","충청북도 청주시 서원구 남이면 가마리","378","0378","0000","청주가마힐데스하임","84.9114","202510","19","30,900","-","4","개인","개인","2016","2순환로 1717","-","중개거래","충북 청주시 서원구","-"
"100","충청북도 청주시 서원구 개신동","11","0011","0000","삼익2","123.9000","202510","18","20,800","-","7","개인","개인","1993","창직로12번길 65","20251104","중개거래","충북 청주시 서원구","-"
"101","충청북도 청주시 서원구 분평동","1386","1386","0000","분평주공7","84.9000","202510","18","18,800","-","12","개인","개인","1997","분평로 18","-","중개거래","충북 청주시 서원구, 충북 청주시 흥덕구","-"
"102","충청북도 청주시 서원구 분평동","1249","1249","0000","현대대우8단지","134.6400","202510","18","32,000","-","15","개인","개인","1999","월평로 28","-","중개거래","충북 청주시 서원구","-"
"103","충청북도 청주시 서원구 수곡동","1057","1057","0000","더샵청주퍼스트파크","84.9616","202510","18","43,300","-","10","개인","개인","2021","수곡로 20","-","중개거래","충북 청주시 서원구","-"
"104","충청북도 청주시 서원구 수곡동","1002","1002","0000","두진백로","59.7600","202510","18","14,200","-","4","개인","개인","1995","수곡로 36","-","중개거래","충북 청주시 서원구","-"
"105","충청북도 청주시 서원구 모충동","553","0553","0000","청주모충LH트릴로채","59.9600","202510","18","29,000","-","15","개인","개인","2021","쌍샘로 22","-","중개거래","충북 청주시 서원구","-"
"106","충청북도 청주시 서원구 개신동","10","0010","0000","삼익1","84.9600","202510","18","13,000","-","2","개인","개인","1991","예체로7번길 48","-","중개거래","충북 청주시 서원구","-"
"107","충청북도 청주시 서원구 개신동","10","0010","0000","삼익1","84.9600","202510","18","15,000","-","6","개인","개인","1991","예체로29번길 9","-","중개거래","충북 청주시 서원구","-"
"108","충청북도 청주시 서원구 개신동","613","0613","0000","휴먼시아","59.9000","202510","18","17,450","제110동","8","개인","개인","2001","경신로 67","-","중개거래","충북 청주시 서원구","25.10.24"
"109","충청북도 청주시 서원구 개신동","634","0634","0000","청주개신푸르지오","84.7750","202510","18","27,000","404","6","개인","개인","2004","신율로 13","-","중개거래","충북 청주시 서원구","25.10.23"
"110","충청북도 청주시 서원구 사직동","928","0928","0000","푸르지오캐슬(301~302)","59.7400","202510","18","27,000","-","6","개인","개인","2010","창신로12번길 66","-","중개거래","충북 청주시 서원구","-"
"111","충청북도 청주시 서원구 수곡동","314","0314","0000","산남주공4단지아파트","49.9400","202510","18","11,000","-","9","개인","개인","1993","구룡산로 275-13","-","중개거래","충북 청주시 서원구","-"
"112","충청북도 청주시 서원구 산남동","671","0671","0000","산남퀸덤아파트","84.9306","202510","18","28,700","-","9","개인","개인","2007","두꺼비로 93","-","중개거래","충북 청주시 서원구, 충북 청주시 흥덕구","-"
