"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 청원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"49","충청북도 청주시 청원구 우암동","328-10","0328","0010","한신빌리지","94.8300","46.3954","202503","18","11,500","4","개인","개인","2001","중앙로103번길 21","-","중개거래","충북 청주시 상당구","25.05.15"
"50","충청북도 청주시 청원구 내덕동","417-6","0417","0006","내덕","57.4200","55.6293","202503","18","7,600","4","개인","개인","1984","공항로58번길 36","-","중개거래","충북 청주시 흥덕구","-"
"51","충청북도 청주시 청원구 내덕동","648-1","0648","0001","우일","59.6100","53.6200","202503","04","4,500","3","개인","개인","1985","내덕로17번길 11","-","직거래","-","25.04.01"
"52","충청북도 청주시 청원구 내수읍 마산리","138-8","0138","0008","동경빌리지(204동,205동)","73.0600","67.3675","202503","02","9,000","3","개인","개인","2013","내수로 680-3","-","직거래","-","25.03.28"
"53","충청북도 청주시 청원구 내덕동","683-8","0683","0008","금광","59.3100","54.5917","202502","28","7,000","1","개인","개인","1985","1순환로341번길 43","-","중개거래","충북 청주시 청원구","25.03.14"
"54","충청북도 청주시 청원구 내수읍 내수리","259-6","0259","0006","동경타운빌(305동,306동)","72.0350","110.6956","202502","23","14,500","3","개인","개인","2015","내수로 599","-","중개거래","충북 청주시 청원구","25.04.18"
"55","충청북도 청주시 청원구 내수읍 내수리","261-8","0261","0008","동경타운빌(312동,313동)","72.5125","101.5988","202502","23","14,500","4","개인","개인","2016","내수로 589","-","중개거래","충북 청주시 청원구","25.03.05"
"56","충청북도 청주시 청원구 내덕동","135-2","0135","0002","삼일","55.7100","57.8700","202502","17","7,300","3","개인","개인","1983","안덕벌로69번길 4","-","직거래","-","25.02.18"
"57","충청북도 청주시 청원구 사천동","254-4","0254","0004","(254-4)","72.0800","58.8650","202502","12","13,000","5","개인","개인","2008","율봉로56번길 30","-","중개거래","충북 청주시 청원구","-"
"58","충청북도 청주시 청원구 오창읍 장대리","236-6","0236","0006","오창빌라","48.9800","49.8700","202502","10","4,500","1","개인","개인","1992","오창시내3길 11","-","직거래","-","25.02.17"
