□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(전월세),,,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 서원구,,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
101,충청북도 청주시 서원구 사창동,151-5,151,5,라임빌,월세,21.52,202401,8,200,35,2,2012,충대로14번길 77,202401~202501,신규,-,,,연립다세대
102,충청북도 청주시 서원구 남이면 척산리,587-1,587,1,황금빌라4동,월세,58.93,202401,7,"1,000",50,4,2018,청남로 1233-10,202403~202602,신규,-,,,연립다세대
,충청북도 청주시 서원구 개신동,Jun-40,40,6,힐링하우스,월세,20.15,202312,22,300,31,4,2013,1순환로 749-1,202401~202501,신규,-,,,연립다세대
,충청북도 청주시 서원구 사창동,184-7,184,7,(184-7),월세,42.64,202312,10,500,45,2,1980,1순환로633번길 18,202312~202412,신규,-,,,연립다세대
,충청북도 청주시 서원구 사창동,240-20,240,20,현대코아루,전세,40.02,202312,1,"9,880",0,4,2015,봉명로 234,202312~202512,갱신,-,"9,500",0,연립다세대
,충청북도 청주시 서원구 사창동,357-2,357,2,덕성빌라,월세,66.62,202311,25,500,45,4,1992,창직로55번길 18,202312~202512,신규,-,,,연립다세대
,충청북도 청주시 서원구 사창동,357-2,357,2,덕성빌라,월세,66.62,202311,25,500,47,4,1992,창직로55번길 18,-,-,-,,,연립다세대
,충청북도 청주시 서원구 산남동,46-35,46,35,(46-35),월세,76.285,202311,16,"3,000",70,1,2016,원흥로 11-21,202401~202601,신규,-,,,연립다세대
,충청북도 청주시 서원구 분평동,249-29,249,29,레인보우C,월세,59.857,202311,13,701,11,5,2012,안뜸로 57,202311~202603,신규,-,,,연립다세대
,충청북도 청주시 서원구 미평동,276-2,276,2,힐타운하우스,전세,181.78,202311,6,"28,000",0,1,2009,남지로21번길 39,202404~202604,신규,-,,,연립다세대
,충청북도 청주시 서원구 사창동,290-15,290,15,늘봄,월세,56.43,202310,22,500,45,1,1985,창신로22번길 51,202311~202511,신규,-,,,연립다세대
,충청북도 청주시 서원구 사창동,290-15,290,15,늘봄,월세,56.43,202310,22,500,45,1,1985,창신로22번길 51,-,-,-,,,연립다세대
,충청북도 청주시 서원구 사창동,190-12,190,12,동성빌라,월세,48.9,202310,17,500,51,1,1989,천수로24번길 18,202310~202510,신규,-,,,연립다세대
,충청북도 청주시 서원구 산남동,324-1,324,1,인덱스타운,전세,56.32,202310,14,"9,000",0,2,2012,1순환로 852,202310~202510,-,-,,,연립다세대
,충청북도 청주시 서원구 산남동,46-35,46,35,(46-35),월세,76.015,202310,7,"5,000",42,3,2016,원흥로 11-21,-,-,-,,,연립다세대
,충청북도 청주시 서원구 산남동,46-35,46,35,(46-35),월세,76.015,202310,7,"5,000",42,3,2016,원흥로 11-21,202311~202511,신규,-,,,연립다세대
,충청북도 청주시 서원구 죽림동,157,157,0,라헨느빌,월세,72.98,202309,20,"2,000",70,2,2013,대림로421번길 66,202310~202510,신규,-,,,연립다세대
,충청북도 청주시 서원구 모충동,89-24,89,24,동우주택,전세,50.34,202309,15,"3,500",0,1,1990,청남로2122번길 42,-,-,-,,,연립다세대
,충청북도 청주시 서원구 사창동,184-2,184,2,"동신(가,나,다)",전세,51.9,202309,12,"3,500",0,1,1980,천수로 11,-,-,-,,,연립다세대
,충청북도 청주시 서원구 성화동,225-13,225,13,성화베리굿,전세,69.639,202309,5,"10,500",0,1,2014,2순환로1502번길 21,202309~202509,신규,-,,,연립다세대
,충청북도 청주시 서원구 수곡동,03월 24일,24,3,수곡,전세,61.72,202308,23,"6,500",0,2,1979,수영로 51,202309~202509,갱신,-,"6,000",0,연립다세대
,충청북도 청주시 서원구 미평동,Mar-78,78,3,로뎀하우스,전세,72,202308,19,"6,000",0,1,2008,궁뜰로 1-2,-,-,-,,,연립다세대
,충청북도 청주시 서원구 개신동,443-6,443,6,서우,전세,45.73,202308,16,"5,500",0,4,1987,모충로 44-2,-,-,-,,,연립다세대
,충청북도 청주시 서원구 미평동,Mar-78,78,3,로뎀하우스,월세,72,202308,15,"2,000",50,1,2008,궁뜰로 1-2,202310~202509,신규,-,,,연립다세대
