시군구명,법정동,등록번호,중개업소 구분,중개업자명,중개업소명,도로명주소(지번)
충청북도 청주시흥덕구,오송읍,43113-2023-00054,공인중개사,최현숙,영재공인중개사사무소,"충청북도 청주시 흥덕구 오송읍 오송생명14로 283 , 오송2차 대광로제비앙 근린생활시설 1동 B110호"
충청북도 청주시흥덕구,봉명동,43113-2023-00056,공인중개사,김재욱,더공감공인중개사사무소,충청북도 청주시 흥덕구 직지대로581번길 20 101호
충청북도 청주시흥덕구,오송읍,43113-2023-00057,공인중개사,손지현,오송역왕공인중개사사무소,충청북도 청주시 흥덕구 오송읍 오송생명12로 8 101호
충청북도 청주시흥덕구,문암동,43113-2023-00060,공인중개사,이제옥,테크노지웰탑공인중개사사무소,"충청북도 청주시 흥덕구 송화로 229 , 근린생활시설1동 123호(문암동, 청주테크노폴리스지웰푸르지오)"
충청북도 청주시흥덕구,송절동,43113-2023-00062,공인중개사,임영숙,위너스부동산합동공인중개사사무소,충청북도 청주시 흥덕구 송화로108번길 42 상가동 B108호
충청북도 청주시흥덕구,강서동,43113-2023-00065,공인중개사,박채순,청와대합동공인중개사사무소,충청북도 청주시 흥덕구 강서로 45 2동104호
충청북도 청주시흥덕구,송절동,43113-2023-00066,공인중개사,이동원,위너스공인중개사사무소,충청북도 청주시 흥덕구 송화로108번길 42 상가동 B108호
충청북도 청주시흥덕구,봉명동,43113-2023-00068,공인중개사,김병노,청주더존공인중개사사무소,충청북도 청주시 흥덕구 과상미로49번길 28 
충청북도 청주시흥덕구,봉명동,43113-2023-00071,공인중개사,지윤희,히트공인중개사사무소,충청북도 청주시 흥덕구 1순환로512번길 31 
충청북도 청주시흥덕구,봉명동,43113-2023-00072,공인중개사,박용식,청지기공인중개사사무소,충청북도 청주시 흥덕구 1순환로584번길 60 103호
충청북도 청주시흥덕구,오송읍,43113-2023-00073,공인중개사,김인숙,오송역이삭공인중개사사무소,"충청북도 청주시 흥덕구 오송읍 오송생명14로 283 ,근린생활시설1동 B111호"
충청북도 청주시흥덕구,복대동,43113-2023-00074,공인중개사,임채영,수풀림공인중개사사무소,충청북도 청주시 흥덕구 죽천로 141 
충청북도 청주시흥덕구,비하동,43113-2023-00076,공인중개사,김유미,서청주일등자이공인중개사사무소,"충청북도 청주시 흥덕구 2순환로 1106 ,303동 3층B134호(비하동,서청주파크자이)"
충청북도 청주시흥덕구,오송읍,43113-2023-00077,공인중개사,이재숙,오송스마일공인중개사사무소,충청북도 청주시 흥덕구 오송읍 봉산2길 32-1 102호
충청북도 청주시흥덕구,가경동,43113-2023-00078,공인중개사,박수남,파트너아이파크공인중개사사무소,충청북도 청주시 흥덕구 서현로 66 청주가경아이파크근린생활시설 제지2층 100동 B107호
충청북도 청주시흥덕구,복대동,43113-2023-00079,공인중개사,이선경,더샵청주센트럴공인중개사사무소,충청북도 청주시 흥덕구 복대로 220 상가동 008호
