"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"58","충청북도 청주시 흥덕구 복대동","288-62","0288","0062","대농지구 롯데캐슬시티","50.5300","202507","30","20,500","3","개인","개인","2017","진재로 141","-","중개거래","충북 청주시 흥덕구"
"59","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","28.5200","202507","29","10,800","9","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"60","충청북도 청주시 흥덕구 비하동","785","0785","0000","(785)","30.1200","202507","27","4,500","2","개인","개인","2010","비하로12번길 15","-","중개거래","충북 청주시 흥덕구"
"61","충청북도 청주시 흥덕구 오송읍 연제리","673","0673","0000","1동","35.6600","202507","25","10,000","6","개인","개인","2016"," ","-","중개거래","경기 안양시 동안구"
"62","충청북도 청주시 흥덕구 복대동","288-62","0288","0062","대농지구 롯데캐슬시티","40.8400","202507","14","17,950","11","개인","개인","2017","진재로 141","-","중개거래","충북 청주시 흥덕구"
"63","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.6300","202507","14","6,600","12","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"64","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","20.4700","202507","13","4,950","5","개인","개인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 흥덕구"
"65","충청북도 청주시 흥덕구 봉명동","2466","2466","0000","(2466)","48.2100","202507","11","4,700","2","개인","개인","2009","덕암로 37","-","직거래","-"
"66","충청북도 청주시 흥덕구 복대동","3404","3404","0000","청주 지웰시티 푸르지오","84.9170","202507","10","36,700","26","개인","개인","2019"," ","20250819","중개거래","충북 청주시 흥덕구"
"67","충청북도 청주시 흥덕구 봉명동","1831","1831","0000","HS포레","46.0000","202507","10","16,000","2","개인","개인","2023","직지대로 609","-","직거래","-"
"68","충청북도 청주시 흥덕구 오송읍 만수리","531","0531","0000","오송 리움갤러리96","44.7175","202507","10","7,000","12","개인","법인","2012","오송생명로 208-9","-","직거래","-"
"69","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.6300","202507","07","6,000","17","개인","개인","2014","오송생명3로 31","-","직거래","-"
"70","충청북도 청주시 흥덕구 오송읍 만수리","531","0531","0000","오송 리움갤러리96","44.7175","202507","07","7,000","6","개인","법인","2012","오송생명로 208-9","-","직거래","-"
"71","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202507","04","7,000","6","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"72","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","30.3300","202507","03","10,450","5","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"73","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","28.9000","202507","01","8,300","8","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"74","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.6300","202506","25","6,700","5","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"75","충청북도 청주시 흥덕구 오송읍 만수리","857","0857","0000","골드리치오피스텔","32.7650","202506","24","7,000","3","개인","개인","2012","오송생명5로 275","-","직거래","-"
"76","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","33.8900","202506","24","10,400","20","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"77","충청북도 청주시 흥덕구 오송읍 연제리","673","0673","0000","1동","57.4600","202506","24","13,400","9","개인","법인","2016","오송생명로 161","-","중개거래","충북 청주시 흥덕구"
"78","충청북도 청주시 흥덕구 복대동","288-62","0288","0062","대농지구 롯데캐슬시티","33.4500","202506","20","11,750","12","개인","개인","2017","진재로 141","-","중개거래","충북 청주시 흥덕구"
"79","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202506","20","6,300","17","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"80","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202506","15","6,300","11","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"81","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","41.9000","202506","13","13,000","16","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"82","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","20.4700","202506","08","5,150","14","개인","개인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 흥덕구"
"83","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202506","07","7,200","8","개인","개인","2019","2순환로 1228","-","중개거래","충북 청주시 흥덕구"
"84","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202506","07","7,200","8","개인","개인","2019","2순환로 1228","20250624","중개거래","충북 청주시 흥덕구"
"85","충청북도 청주시 흥덕구 비하동","784","0784","0000","(784)","30.0000","202506","05","3,800","4","개인","개인","2008","비하로18번길 10","-","중개거래","충북 청주시 흥덕구"
"86","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","25.2300","202506","05","9,000","8","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"87","충청북도 청주시 흥덕구 복대동","288-62","0288","0062","대농지구 롯데캐슬시티","44.0900","202506","04","18,800","13","개인","법인","2017","진재로 141","-","중개거래","충북 청주시 흥덕구"
"88","충청북도 청주시 흥덕구 오송읍 만수리","531","0531","0000","오송 리움갤러리96","44.7175","202506","02","9,500","10","개인","개인","2012","오송생명로 208-9","-","직거래","-"
"89","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","30.3300","202505","27","10,400","8","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"90","충청북도 청주시 흥덕구 비하동","796","0796","0000","현대오피스텔","41.0200","202505","26","5,300","9","개인","개인","2003","비하로12번길 14","-","직거래","-"
"91","충청북도 청주시 흥덕구 복대동","3337","3337","0000","(3337)","31.6500","202505","26","5,300","5","개인","법인","2015","죽천로 127","-","중개거래","충북 청주시 서원구, 충북 청주시 흥덕구"
"92","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","37.6100","202505","26","9,500","11","개인","개인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 흥덕구"
"93","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","28.9000","202505","21","8,380","22","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"94","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","20.4700","202505","19","5,000","4","개인","개인","2016","가로수로1164번길 41-33","-","직거래","-"
"95","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202505","19","6,200","8","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"96","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202505","18","6,950","11","개인","개인","2019","2순환로 1228","-","중개거래","충북 청주시 흥덕구"
"97","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202505","13","6,400","9","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"98","충청북도 청주시 흥덕구 오송읍 만수리","862","0862","0000","오송읍 만수리 862 업무시설 (현경미래개발주식회사)","23.1000","202505","13","7,300","7","개인","개인","2020","오송생명3로 184","-","직거래","-"
"99","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","32.9100","202505","12","9,500","4","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"100","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","28.9000","202505","12","8,450","15","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"101","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","23.5200","202505","10","6,000","18","개인","개인","2014","오송생명3로 31","-","중개거래","세종"
"102","충청북도 청주시 흥덕구 비하동","785","0785","0000","(785)","30.1200","202505","08","4,500","2","개인","개인","2010","비하로12번길 15","-","중개거래","충북 청주시 흥덕구"
"103","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","46.8300","202504","30","13,700","10","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"104","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","28.5200","202504","29","10,750","8","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"105","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.6300","202504","29","6,600","17","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"106","충청북도 청주시 흥덕구 비하동","785","0785","0000","(785)","33.1900","202504","29","5,300","5","개인","개인","2010","비하로12번길 15","-","중개거래","충북 청주시 흥덕구"
"107","충청북도 청주시 흥덕구 복대동","288-62","0288","0062","대농지구 롯데캐슬시티","48.3500","202504","26","20,000","5","개인","개인","2017","진재로 141","-","중개거래","충북 청주시 흥덕구"
