□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 서원구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
101,충청북도 청주시 서원구 수곡동,171-13,171,13,명보,65.46,58.08,202406,25,"5,650",3,개인,개인,1986,구룡산로330번길 5,-,중개거래,충북 청주서원구,24.07.29
102,충청북도 청주시 서원구 사직동,640-20,640,20,동원A,73.383,61.02,202406,15,"14,910",4,개인,개인,1984,호국로 39,-,중개거래,충북 청주시 서원구,24.08.30
103,충청북도 청주시 서원구 사창동,298-7,298,7,오양,64.46,58.55,202406,3,"8,000",2,개인,개인,1979,사직대로176번길 32,-,중개거래,충북 청주서원구,24.07.23
104,충청북도 청주시 서원구 남이면 가마리,30-20,30,20,힐데스빌2단지,84.0438,99.18,202406,3,"18,000",2,개인,개인,2016,청남로 1809-8,-,중개거래,충북 청주시흥덕구,24.07.03
105,충청북도 청주시 서원구 모충동,505-12,505,12,주연빌라,40.33,30.65,202405,31,"8,000",1,개인,개인,1989,호국로3번길 45,-,중개거래,충북 청주서원구,24.07.02
106,충청북도 청주시 서원구 모충동,505-12,505,12,주연빌라,40.33,30.65,202405,31,"8,000",1,개인,개인,1989,호국로3번길 45,20240627,중개거래,충북 청주서원구,-
107,충청북도 청주시 서원구 수곡동,1-65,65,1,아름나래빌,84.7459,76.3844,202405,31,"9,800",2,개인,기타,2004,수영로24번길 32,-,직거래,-,24.06.17
108,충청북도 청주시 서원구 수곡동,23-35,23,35,흥덕가동,36.06,21.95,202405,29,"4,000",1,개인,법인,1989,청남로2064번길 90,-,직거래,-,24.05.29
109,충청북도 청주시 서원구 사창동,130-14,130,14,대한A동,45.99,35.15,202405,29,"4,000",1,개인,개인,1989,1순환로614번길 23,-,직거래,-,24.05.29
110,충청북도 청주시 서원구 모충동,502,502,0,우석,42.11,44.74,202405,26,"11,000",2,개인,개인,1991,모충로 85-4,-,중개거래,충북 청주시 서원구,24.08.26
111,충청북도 청주시 서원구 수곡동,176-8,176,8,동진하이츠빌라,109.44,90.55,202405,25,"12,800",2,개인,개인,1998,구룡산로338번길 16-6,-,중개거래,충북 청주서원구,24.05.31
112,충청북도 청주시 서원구 수곡동,171-13,171,13,명보,64.8,57.52,202405,22,"6,200",1,개인,개인,1986,구룡산로330번길 5,-,중개거래,충북 청주서원구,24.07.08
113,충청북도 청주시 서원구 수곡동,3-71,71,3,수곡연립,45.58,47.78,202405,20,"2,800",4,개인,법인,1982,수영로8번길 17,-,직거래,-,24.09.30
114,충청북도 청주시 서원구 수곡동,03월 24일,24,3,수곡,61.72,66,202405,20,"6,600",1,개인,개인,1979,수영로 51,-,중개거래,충북 청주서원구,24.07.22
115,충청북도 청주시 서원구 사창동,248-10,248,10,동신,41.39,50.6,202405,19,"4,300",1,개인,개인,1979,천석로 22,-,중개거래,충북 청주시청원구,24.06.17
116,충청북도 청주시 서원구 모충동,462-1,462,1,잉꼬나동,44.07,33.55,202405,14,"5,450",2,개인,개인,1990,매봉로 193-23,-,직거래,-,24.05.28
