"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"80","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","27.20","월세","202510","26","300","50","2019","봉산1길","202510~202610","신규","-","","","단독다가구"
"81","충청북도 청주시 흥덕구 봉명동","2**","25m미만","22.00","월세","202510","25","300","36","2019","봉명로","202510~202610","신규","-","","","단독다가구"
"82","충청북도 청주시 흥덕구 가경동","1***","12m미만","45.00","월세","202510","25","2,000","29","2010","서현중로19번길","202511~202710","신규","-","","","단독다가구"
"83","충청북도 청주시 흥덕구 봉명동","2**","25m미만","22.00","월세","202510","25","300","39","2020","봉명로","202511~202610","신규","-","","","단독다가구"
"84","충청북도 청주시 흥덕구 오송읍 연제리","5**","8m미만","30.00","월세","202510","25","500","40","2015","연제1길","202511~202610","신규","-","","","단독다가구"
"85","충청북도 청주시 흥덕구 비하동","3**","8m미만","37.21","월세","202510","25","1,000","55","2018","2순환로","202511~202611","신규","-","","","단독다가구"
"86","충청북도 청주시 흥덕구 오송읍 연제리","8**","12m미만","41.50","월세","202510","25","6,000","8","2012","연제길","202511~202611","갱신","사용","6,000","0","단독다가구"
"87","충청북도 청주시 흥덕구 봉명동","1***","25m미만","25.00","월세","202510","24","500","56","2025","백봉로","202510~202610","신규","-","","","단독다가구"
"88","충청북도 청주시 흥덕구 오송읍 만수리","6**","12m미만","40.21","월세","202510","24","300","45","2011","만수1길","202511~202611","신규","-","","","단독다가구"
"89","충청북도 청주시 흥덕구 봉명동","2***","12m미만","30.00","월세","202510","24","300","60","2010","덕암로47번길","202511~202601","갱신","-","300","80","단독다가구"
"90","충청북도 청주시 흥덕구 봉명동","2**","25m미만","22.00","월세","202510","24","200","33","2020","봉명로","202510~202610","신규","-","","","단독다가구"
"91","충청북도 청주시 흥덕구 봉명동","2***","12m미만","30.00","월세","202510","24","300","55","","덕암로47번길","202511~202601","갱신","-","300","80","단독다가구"
"92","충청북도 청주시 흥덕구 운천동","1***","8m미만","50.00","월세","202510","24","300","68","2012","직지대로757번길","202510~202610","신규","-","","","단독다가구"
"93","충청북도 청주시 흥덕구 봉명동","2***","12m미만","26.00","월세","202510","24","200","55","","덕암로71번길","202511~202601","갱신","-","200","50","단독다가구"
"94","충청북도 청주시 흥덕구 봉명동","2***","25m미만","45.00","월세","202510","24","900","75","2014","월명로178번길","202510~202610","신규","-","","","단독다가구"
"95","충청북도 청주시 흥덕구 봉명동","1**","8m미만","39.67","월세","202510","24","300","40","2013","1순환로584번길","202510~202610","신규","-","","","단독다가구"
"96","충청북도 청주시 흥덕구 강서동","4*","12m미만","37.30","월세","202510","24","1,000","55","2015","강서로71번길","202510~202610","신규","-","","","단독다가구"
"97","충청북도 청주시 흥덕구 복대동","2***","12m미만","20.00","월세","202510","24","200","51","2018","짐대로50번길","202510~202604","신규","-","","","단독다가구"
"98","충청북도 청주시 흥덕구 복대동","1***","12m미만","59.50","전세","202510","24","2,000","0","1990","성봉로287번길","202510~202710","신규","-","","","단독다가구"
"99","충청북도 청주시 흥덕구 복대동","1*","8m미만","25.00","월세","202510","24","500","51","2025","복대로209번길","202510~202610","신규","-","","","단독다가구"
"100","충청북도 청주시 흥덕구 봉명동","2***","12m미만","26.00","월세","202510","24","200","60","2011","덕암로71번길","202511~202601","갱신","-","200","55","단독다가구"
"101","충청북도 청주시 흥덕구 봉명동","1**","8m미만","30.00","월세","202510","23","200","30","1998","1순환로584번길","202510~202610","신규","-","","","단독다가구"
"102","충청북도 청주시 흥덕구 오송읍 봉산리","1***","25m미만","25.53","월세","202510","23","500","60","2021","오송생명14로","202511~202611","신규","-","","","단독다가구"
"103","충청북도 청주시 흥덕구 가경동","1***","12m미만","24.00","월세","202510","23","200","30","2001","2순환로","202510~202610","신규","-","","","단독다가구"
"104","충청북도 청주시 흥덕구 가경동","1***","25m미만","40.00","월세","202510","23","300","45","2013","서현서로29번길","202510~202610","신규","-","","","단독다가구"
"105","충청북도 청주시 흥덕구 복대동","3***","12m미만","25.00","월세","202510","23","500","60","2012","대신로67번길","202510~202604","신규","-","","","단독다가구"
"106","충청북도 청주시 흥덕구 봉명동","2**","8m미만","40.00","월세","202510","23","500","60","2006","1순환로608번길","202510~202604","신규","-","","","단독다가구"
"107","충청북도 청주시 흥덕구 봉명동","5**","12m미만","25.00","월세","202510","23","2,000","25","2016","직지대로667번길","202510~202610","신규","-","","","단독다가구"
"108","충청북도 청주시 흥덕구 봉명동","5**","8m미만","30.00","월세","202510","23","200","35","2012","직지대로667번길","202510~202610","신규","-","","","단독다가구"
"109","충청북도 청주시 흥덕구 봉명동","8**","12m미만","30.10","월세","202510","23","300","30","2016","봉명로205번길","202510~202612","신규","-","","","단독다가구"
"110","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","29.02","월세","202510","22","500","54","2022","봉산2길","202511~202611","신규","-","","","단독다가구"
"111","충청북도 청주시 흥덕구 복대동","1***","8m미만","54.30","월세","202510","22","1,000","70","2018","풍산로133번길","202510~202610","신규","-","","","단독다가구"
"112","충청북도 청주시 흥덕구 복대동","1**","8m미만","25.00","월세","202510","22","200","29","2012","신율로180번길","202510~202610","신규","-","","","단독다가구"
"113","충청북도 청주시 흥덕구 복대동","2***","8m미만","58.14","월세","202510","22","3,500","20","1993","풍산로118번길","202510~202710","신규","-","","","단독다가구"
"114","충청북도 청주시 흥덕구 복대동","2***","12m미만","90.00","월세","202510","22","500","75","2003","진재로55번길","202510~202710","신규","-","","","단독다가구"
"115","충청북도 청주시 흥덕구 봉명동","2***","25m미만","21.00","월세","202510","22","500","60","2024","덕암로","202510~202610","신규","-","","","단독다가구"
"116","충청북도 청주시 흥덕구 비하동","7**","12m미만","26.40","월세","202510","22","2,000","40","2001","비하로56번길","202510~202610","신규","-","","","단독다가구"
"117","충청북도 청주시 흥덕구 봉명동","2***","25m미만","34.00","월세","202510","22","1,000","70","2016","덕암로108번길","202511~202611","신규","-","","","단독다가구"
"118","충청북도 청주시 흥덕구 봉명동","2***","25m미만","25.00","월세","202510","22","300","33","2018","덕암로107번길","202510~202610","신규","-","","","단독다가구"
"119","충청북도 청주시 흥덕구 복대동","1***","8m미만","19.38","월세","202510","22","200","30","2013","성봉로271번길","202510~202612","신규","-","","","단독다가구"
"120","충청북도 청주시 흥덕구 가경동","1***","25m미만","30.12","월세","202510","22","500","45","2018","장구봉로41번길","202510~202610","신규","-","","","단독다가구"
"121","충청북도 청주시 흥덕구 가경동","1***","8m미만","48.00","월세","202510","21","900","50","2017","서현중로31번길","202511~202701","갱신","-","900","50","단독다가구"
"122","충청북도 청주시 흥덕구 복대동","3***","12m미만","28.00","월세","202510","21","300","42","","죽천로131번길","202510~202610","신규","-","","","단독다가구"
"123","충청북도 청주시 흥덕구 봉명동","2***","12m미만","33.00","월세","202510","21","100","33","2005","덕암로97번길","202510~202610","신규","-","","","단독다가구"
"124","충청북도 청주시 흥덕구 봉명동","2***","12m미만","47.00","전세","202510","21","7,300","0","2010","덕암로59번길","202511~202710","신규","-","","","단독다가구"
"125","충청북도 청주시 흥덕구 가경동","1**","25m미만","28.00","월세","202510","21","300","45","2017","경산로43번길","202510~202610","신규","-","","","단독다가구"
"126","충청북도 청주시 흥덕구 오송읍 상정리","7**","8m미만","179.73","전세","202510","21","25,000","0","2019","상정혜담길","202601~202802","신규","-","","","단독다가구"
"127","충청북도 청주시 흥덕구 가경동","1***","8m미만","36.30","월세","202510","21","200","65","2010","서현중로31번길","202510~202601","신규","-","","","단독다가구"
"128","충청북도 청주시 흥덕구 봉명동","2***","12m미만","29.00","월세","202510","20","100","35","2003","덕암로103번길","202510~202610","신규","-","","","단독다가구"
"129","충청북도 청주시 흥덕구 오송읍 만수리","5**","25m미만","29.75","월세","202510","20","200","45","2010","만수2길","202510~202604","신규","-","","","단독다가구"
"130","충청북도 청주시 흥덕구 오송읍 봉산리","1***","25m미만","38.35","월세","202510","20","1,000","67","2021","봉산2길","202510~202710","신규","-","","","단독다가구"
"131","충청북도 청주시 흥덕구 봉명동","2***","12m미만","30.00","월세","202510","20","100","35","2007","덕암로103번길","202510~202610","신규","-","","","단독다가구"
"132","충청북도 청주시 흥덕구 봉명동","5**","8m미만","50.00","전세","202510","20","9,500","0","2016","직지대로667번길","202511~202711","신규","-","","","단독다가구"
"133","충청북도 청주시 흥덕구 봉명동","8**","8m미만","65.26","월세","202510","20","500","50","","봉명로233번길","202510~202710","신규","-","","","단독다가구"
"134","충청북도 청주시 흥덕구 운천동","8**","25m미만","35.00","월세","202510","20","100","15","","흥덕로","202510~202710","갱신","-","100","15","단독다가구"
"135","충청북도 청주시 흥덕구 복대동","2***","12m미만","23.15","월세","202510","20","300","40","2000","진재로48번길","202510~202610","신규","-","","","단독다가구"
