□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,
실거래구분 : 단독다가구(전월세),,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,
시군구 : 청주시 상당구,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,
NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
117,충청북도 청주시 상당구 용정동,7**,12m미만,50,월세,202509,23,"2,000",40,2005,중고개로224번길,202510~202710,신규,-,,,단독다가구
118,충청북도 청주시 상당구 금천동,9*,8m미만,76.88,월세,202509,23,500,35,1981,꽃산서로,202510~202710,신규,-,,,단독다가구
119,충청북도 청주시 상당구 용암동,3***,25m미만,29.23,월세,202509,23,"1,000",65,2022,동남로,202510~202710,신규,-,,,단독다가구
120,충청북도 청주시 상당구 용암동,1***,12m미만,80.04,월세,202509,23,"3,559",12,2019,용암로103번길,202510~202709,갱신,-,703,24,단독다가구
121,충청북도 청주시 상당구 용정동,7**,12m미만,35,월세,202509,23,300,42,2004,영운천로179번길,202509~202709,신규,-,,,단독다가구
122,충청북도 청주시 상당구 용암동,3***,25m미만,28.49,월세,202509,22,"2,000",51,2022,중고개로125번길,202510~202710,신규,-,,,단독다가구
123,충청북도 청주시 상당구 서문동,1**,8m미만,45,월세,202509,22,600,48,2015,남사로93번길,202510~202610,신규,-,,,단독다가구
124,충청북도 청주시 상당구 용정동,1***,12m미만,33,월세,202509,22,500,45,2013,용정로38번길,202510~202610,신규,-,,,단독다가구
125,충청북도 청주시 상당구 탑동,3**,12m미만,29.7,전세,202509,22,"3,250",0,2001,탑동로1번길,202509~202709,신규,-,,,단독다가구
126,충청북도 청주시 상당구 탑동,3**,8m미만,188.65,전세,202509,22,"7,000",0,1999,탑동로1번길,202509~202709,신규,-,,,단독다가구
127,충청북도 청주시 상당구 용암동,3***,12m미만,25.2,월세,202509,22,500,50,2022,동남로109번길,202509~202609,신규,-,,,단독다가구
128,충청북도 청주시 상당구 용암동,3***,25m미만,40.01,월세,202509,22,"2,000",80,2023,월운로,202510~202710,신규,-,,,단독다가구
129,충청북도 청주시 상당구 영운동,1**,25m미만,70.17,월세,202509,22,300,35,1977,영운로,202509~202709,신규,-,,,단독다가구
130,충청북도 청주시 상당구 용정동,9**,12m미만,60,월세,202509,21,"1,000",40,2007,호미로222번길,202510~202710,신규,-,,,단독다가구
131,충청북도 청주시 상당구 용정동,7**,12m미만,40,월세,202509,21,300,30,2003,중고개로216번길,202510~202610,신규,-,,,단독다가구
132,충청북도 청주시 상당구 용정동,1***,12m미만,50,월세,202509,21,500,50,2015,용정로32번길,202510~202710,신규,-,,,단독다가구
133,충청북도 청주시 상당구 용암동,2***,12m미만,39,월세,202509,20,300,43,2003,용암북로168번길,202510~202710,신규,-,,,단독다가구
134,충청북도 청주시 상당구 용암동,1***,12m미만,104.51,전세,202509,20,"11,000",0,1996,무농정로2번길,202511~202711,신규,-,,,단독다가구
135,충청북도 청주시 상당구 용암동,3***,12m미만,47.91,월세,202509,20,"1,000",80,2022,중고개로141번길,202510~202710,신규,-,,,단독다가구
136,충청북도 청주시 상당구 용암동,3***,25m미만,122.19,월세,202509,19,"6,000",140,2023,동남로83번길,202510~202710,신규,-,,,단독다가구
137,충청북도 청주시 상당구 용암동,3***,25m미만,122.19,월세,202509,19,"6,000",140,2023,동남로83번길,202510~202710,신규,-,,,단독다가구
138,충청북도 청주시 상당구 용암동,6**,12m미만,23.1,월세,202509,18,200,25,2004,용암로99번길,202509~202609,신규,-,,,단독다가구
139,충청북도 청주시 상당구 영운동,7*,12m미만,39,월세,202509,17,500,30,,영운천로69번길,202510~202710,신규,-,,,단독다가구
140,충청북도 청주시 상당구 남일면 신송리,5**,8m미만,162.87,월세,202509,17,"3,000",70,2015,가좌신송로,202511~202711,신규,-,,,단독다가구
141,충청북도 청주시 상당구 용정동,9**,12m미만,49.5,월세,202509,16,"1,000",40,2005,용정로2번길,202511~202711,신규,-,,,단독다가구
142,충청북도 청주시 상당구 용암동,3***,12m미만,49.3,전세,202509,16,"15,000",0,2025,중고개로141번길,202511~202710,신규,-,,,단독다가구
143,충청북도 청주시 상당구 용암동,3***,12m미만,33.56,전세,202509,16,"13,000",0,2022,중고개로125번길,202509~202709,신규,-,,,단독다가구
144,충청북도 청주시 상당구 용암동,3***,12m미만,31.22,월세,202509,16,"1,000",65,2024,중고개로125번길,202509~202709,신규,-,,,단독다가구
145,충청북도 청주시 상당구 탑동,3**,12m미만,30,월세,202509,16,300,27,2001,탑동로1번길,202509~202609,신규,-,,,단독다가구
146,충청북도 청주시 상당구 용암동,1***,12m미만,23.1,월세,202509,16,100,20,1999,용암북로46번길,202509~202609,신규,-,,,단독다가구
147,충청북도 청주시 상당구 용암동,1***,12m미만,33,월세,202509,16,300,40,1998,용암북로44번길,202509~202709,신규,-,,,단독다가구
148,충청북도 청주시 상당구 북문로2가,7*,12m미만,88.32,월세,202509,16,"1,000",60,1981,사직대로361번길,202510~202710,신규,-,,,단독다가구
149,충청북도 청주시 상당구 영운동,1**,12m미만,23.1,월세,202509,16,200,20,2000,수영로137번길,202509~202611,신규,-,,,단독다가구
150,충청북도 청주시 상당구 서운동,2*,12m미만,30,월세,202509,15,200,46,2013,상당로14번길,202509~202609,신규,-,,,단독다가구
151,충청북도 청주시 상당구 탑동,9*,12m미만,25,월세,202509,15,50,72,2001,산성로49번길,202509~202603,신규,-,,,단독다가구
152,충청북도 청주시 상당구 용암동,3***,12m미만,36.68,월세,202509,15,"2,000",80,2022,중고개로125번길,202509~202709,신규,-,,,단독다가구
