□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(전월세),,,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 청원구,,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
61,충청북도 청주시 청원구 오창읍 양지리,108-4,108,4,포시즌타운빌D동,전세,53.22,202501,16,"9,500",0,4,2017,2산단1로 97-7,202502~202702,신규,-,,,연립다세대
62,충청북도 청주시 청원구 오창읍 양지리,108-3,108,3,포시즌타운빌C동,전세,53.22,202501,15,"8,000",0,1,2017,2산단1로 97-6,202503~202703,신규,-,,,연립다세대
63,충청북도 청주시 청원구 주중동,186-50,186,50,어웰휴빌리지2차,월세,84.9875,202501,10,"1,500",85,3,2016,공항로220번길 110,202501~202701,신규,-,,,연립다세대
64,충청북도 청주시 청원구 우암동,410-1,410,1,(410-1),전세,68.53,202501,7,"7,800",0,3,2006,교서로210번길 12-4,202501~202701,신규,-,,,연립다세대
65,충청북도 청주시 청원구 오창읍 탑리,266,266,0,해든마루104동,전세,71.23,202501,4,"11,350",0,2,2019,탑리길 25-9,202502~202702,신규,-,,,연립다세대
66,충청북도 청주시 청원구 오창읍 탑리,266,266,0,해든마루104동,전세,71.23,202501,4,"12,000",0,2,2019,탑리길 25-9,202502~202702,신규,-,,,연립다세대
67,충청북도 청주시 청원구 우암동,371-10,371,10,(371-10),전세,49.695,202501,2,"10,000",0,5,2022,내덕로18번길 18,202501~202701,신규,-,,,연립다세대
,충청북도 청주시 청원구 우암동,229-10,229,10,EV,월세,15.96,202412,30,500,30,4,2013,상당로 246-5,202501~202601,신규,-,,,연립다세대
,충청북도 청주시 청원구 내덕동,499-4,499,4,덕일,월세,59.39,202412,29,"1,500",38,3,1983,1순환로197번길 15-2,202502~202706,신규,-,,,연립다세대
,충청북도 청주시 청원구 주성동,Mar-90,90,3,"청우휴타운하우스(A,B동)",월세,124.74,202412,27,"8,000",30,1,2018,2순환로160번길 26-31,202502~202702,신규,-,,,연립다세대
,충청북도 청주시 청원구 내덕동,135-4,135,4,삼일,월세,72.48,202412,26,"1,000",70,3,1983,안덕벌로 68,202412~202512,신규,-,,,연립다세대
,충청북도 청주시 청원구 오창읍 양지리,108-3,108,3,포시즌타운빌C동,전세,53.22,202412,24,"10,000",0,3,2017,2산단1로 97-6,202501~202701,신규,-,,,연립다세대
,충청북도 청주시 청원구 내덕동,417-6,417,6,내덕,월세,58.14,202412,24,300,40,4,1984,공항로58번길 36,202412~202512,신규,-,,,연립다세대
,충청북도 청주시 청원구 주성동,Mar-90,90,3,"청우휴타운하우스(A,B동)",월세,124.74,202412,18,"30,000",30,3,2018,2순환로160번길 26-31,202412~202612,갱신,-,"37,000",0,연립다세대
,충청북도 청주시 청원구 오창읍 장대리,324-34,324,34,보탑아트빌,전세,65.54,202412,17,"8,700",0,2,2013,장대길 14-4,202501~202701,신규,-,,,연립다세대
,충청북도 청주시 청원구 율량동,888-1,888,1,(888-1),전세,38.23,202412,16,"5,900",0,2,2014,공항로138번길 56,202412~202612,갱신,-,"5,700",0,연립다세대
,충청북도 청주시 청원구 율량동,888-1,888,1,(888-1),월세,38.23,202412,16,"5,200",3,2,2014,공항로138번길 56,202412~202612,신규,-,,,연립다세대
,충청북도 청주시 청원구 율량동,888-1,888,1,(888-1),월세,38.23,202412,16,"5,200",3,2,2014,공항로138번길 56,202412~202612,갱신,-,"5,700",0,연립다세대
,충청북도 청주시 청원구 내덕동,653-21,653,21,한샘빌라,전세,35.728,202412,13,"6,000",0,4,2009,1순환로339번길 69,202412~202612,갱신,-,500,28,연립다세대
,충청북도 청주시 청원구 주중동,525-20,525,20,(525-20외),전세,56.73,202412,12,"5,000",0,4,2014,발산로 6-15,202412~202612,신규,-,,,연립다세대
,충청북도 청주시 청원구 주중동,581-4,581,4,화인임대주택,전세,39.4225,202412,12,"3,000",0,4,1999,공항로220번길 12-1,202412~202612,신규,-,,,연립다세대
,충청북도 청주시 청원구 주중동,581-4,581,4,화인임대주택,전세,39.4225,202412,6,"3,200",0,1,1999,공항로220번길 12-1,-,-,-,,,연립다세대
,충청북도 청주시 청원구 주중동,581-4,581,4,화인임대주택,전세,39.4225,202412,6,"3,200",0,1,1999,공항로220번길 12-1,202412~202612,신규,-,,,연립다세대
,충청북도 청주시 청원구 오창읍 장대리,324-4,324,4,SH,전세,72.96,202412,2,"8,700",0,2,2014,장대길 17,202412~202612,신규,-,,,연립다세대
,충청북도 청주시 청원구 주중동,186-46,186,46,어웰휴빌리지1차,월세,84.9075,202411,27,"2,000",80,1,2016,공항로220번길 100,202412~202512,신규,-,,,연립다세대
,충청북도 청주시 청원구 사천동,403-16,403,16,장원,전세,51.21,202411,22,"3,800",0,1,1986,무심동로692번길 58,-,-,-,,,연립다세대
,충청북도 청주시 청원구 오창읍 양지리,108-4,108,4,포시즌타운빌D동,전세,53.22,202411,20,"9,500",0,4,2017,2산단1로 97-7,202412~202612,신규,-,,,연립다세대
,충청북도 청주시 청원구 오창읍 탑리,266-3,266,3,해든마루103동,전세,70.03,202411,9,"13,000",0,4,2019,탑리길 25-5,202411~202512,갱신,-,"13,000",0,연립다세대
,충청북도 청주시 청원구 율량동,938,938,0,삼부빌라,전세,42.69,202411,9,"4,000",0,1,1993,율봉로152번길 37-8,202411~202611,신규,-,,,연립다세대
,충청북도 청주시 청원구 오창읍 양지리,109-1,109,1,포시즌타운빌B동,전세,53.24,202411,5,"12,300",0,2,2018,2산단1로 97-5,202411~202611,신규,-,,,연립다세대
,충청북도 청주시 청원구 주중동,525-20,525,20,(525-20외),월세,56.73,202411,4,900,50,1,2014,발산로 6-15,202411~202511,신규,-,,,연립다세대
,충청북도 청주시 청원구 내덕동,417-6,417,6,내덕,전세,57.42,202411,4,"4,000",0,4,1984,공항로58번길 36,202411~202611,신규,-,,,연립다세대
,충청북도 청주시 청원구 오창읍 탑리,266,266,0,해든마루104동,전세,70.03,202411,1,"12,000",0,2,2019,탑리길 25-9,202411~202610,신규,-,,,연립다세대
,충청북도 청주시 청원구 내수읍 도원리,122-1,122,1,더웰빌리지102동,월세,62.79,202411,1,"4,700",23,2,2022,원마산길 31-3,202411~202610,신규,-,,,연립다세대
,충청북도 청주시 청원구 주중동,581-4,581,4,화인임대주택,전세,39.4225,202410,30,"3,200",0,4,1999,공항로220번길 12-1,202410~202510,갱신,-,"2,000",0,연립다세대
