□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 청원구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
79,충청북도 청주시 청원구 오창읍 각리,646-1,646,1,우림필유2차,59.9101,202510,23,"21,700",-,14,개인,개인,2006,오창중앙로 65,20251104,중개거래,충북 청주시 청원구,-
80,충청북도 청주시 청원구 오창읍 각리,637-9,637,9,대원칸타빌,59.9851,202510,23,"20,500",-,1,개인,개인,2006,오창중앙로 64,-,중개거래,충북 청주시 청원구,-
81,충청북도 청주시 청원구 오창읍 각리,645-1,645,1,코아루,84.9696,202510,23,"28,500",-,8,개인,개인,2006,오창중앙로 27,-,중개거래,충북 청주시 청원구,-
82,충청북도 청주시 청원구 사천동,229-1,229,1,신동아,84.81,202510,23,"19,100",-,3,개인,개인,1993,율봉로 77,-,중개거래,충북 청주시 청원구,-
83,충청북도 청주시 청원구 율량동,1263,1263,0,율량효성2,59.86,202510,22,"11,700",-,13,개인,개인,1997,사뜸로 62,-,중개거래,충북 청주시 청원구,-
84,충청북도 청주시 청원구 오창읍 양청리,810-2,810,2,오창롯데캐슬더하이스트,84.9241,202510,22,"40,000",-,5,개인,개인,2018,중부로 760,-,중개거래,충북 청주시 청원구,-
85,충청북도 청주시 청원구 오창읍 각리,645-1,645,1,코아루,84.9796,202510,22,"27,200",-,8,개인,개인,2006,오창중앙로 27,-,중개거래,충북 청주시 청원구,-
86,충청북도 청주시 청원구 내수읍 은곡리,301,301,0,덕일한마음,38.61,202510,22,"2,900",104동,8,개인,개인,1997,은곡묵방길 28,-,직거래,-,25.10.23
87,충청북도 청주시 청원구 내수읍 마산리,123,123,0,내수진흥아파트,59.85,202510,21,"3,500",105동,6,개인,개인,1990,마산길 72,-,중개거래,충북 청주시 청원구,25.10.27
88,충청북도 청주시 청원구 내수읍 은곡리,301,301,0,덕일한마음,45.27,202510,21,"4,650",101동,5,개인,개인,1997,은곡묵방길 28,-,직거래,-,25.10.28
89,충청북도 청주시 청원구 사천동,444-1,444,1,사천동대창2차101동,59.2012,202510,21,"10,750",-,6,법인,개인,2000,새터로 186,-,중개거래,충북 청주시 청원구,-
90,충청북도 청주시 청원구 오창읍 양청리,810-2,810,2,오창롯데캐슬더하이스트,59.9502,202510,21,"30,500",-,21,개인,개인,2018,중부로 760,-,중개거래,충북 청주시 청원구,-
91,충청북도 청주시 청원구 사천동,449-3,449,3,덕성그린아파트,33.33,202510,21,"4,600",-,14,개인,개인,1997,새터로 187,-,중개거래,충북 청주시 청원구,-
92,충청북도 청주시 청원구 오창읍 양청리,810-2,810,2,오창롯데캐슬더하이스트,84.9749,202510,21,"41,820",-,37,개인,개인,2018,중부로 760,-,중개거래,충북 청주시 청원구,-
93,충청북도 청주시 청원구 율량동,2605,2605,0,율량금호어울림센트로,84.9755,202510,21,"43,000",-,22,개인,개인,2022,율천북로 91,-,중개거래,충북 청주시 청원구,-
94,충청북도 청주시 청원구 오창읍 창리,160,160,0,대원칸타빌아파트,75.3375,202510,20,"30,100",-,14,개인,개인,2017,2산단4로 55,-,중개거래,충북 청주시 청원구,-
95,충청북도 청주시 청원구 오창읍 양청리,810-2,810,2,오창롯데캐슬더하이스트,84.9749,202510,20,"43,000",-,16,개인,개인,2018,중부로 760,-,중개거래,"세종, 충북 청주시 청원구",-
96,충청북도 청주시 청원구 내덕동,857,857,0,청주힐즈파크푸르지오,84.992,202510,20,"44,000",-,2,개인,개인,2020,1순환로 123,-,중개거래,충북 청주시 청원구,-
97,충청북도 청주시 청원구 내수읍 은곡리,301,301,0,덕일한마음,38.61,202510,20,"2,900",105동,4,개인,개인,1997,은곡묵방길 28,-,직거래,-,25.10.22
98,충청북도 청주시 청원구 율량동,1292,1292,0,신라(1292-0),30.6,202510,20,"4,400",나동,2,개인,개인,1995,율봉로94번길 9,-,중개거래,충북 청주시 청원구,25.10.21
99,충청북도 청주시 청원구 오창읍 각리,637-1,637,1,한라비발디,108.453,202510,20,"28,000",811,8,개인,개인,2006,오창중앙로 94,-,직거래,-,25.10.21
100,충청북도 청주시 청원구 오창읍 각리,636-2,636,2,한신더휴센트럴파크,84.9893,202510,20,"44,800",-,5,개인,개인,2018,오창공원로 96,-,중개거래,충북 청주시 청원구,-
101,충청북도 청주시 청원구 율량동,1292,1292,0,신라(1292-0),30.6,202510,20,"4,300",-,8,개인,개인,1995,율봉로94번길 9,-,중개거래,충북 청주시 청원구,-
