□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 상당구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
70,충청북도 청주시 상당구 남일면 송암리,413,413,0,송암빌라,80.062,135.837,202504,1,"8,000",2,개인,개인,2000,효촌송암길 95,-,직거래,-,25.04.04
71,충청북도 청주시 상당구 대성동,03월 18일,18,3,건흥빌라다동,40.64,30.33,202503,31,"5,000",1,개인,개인,1994,용담로93번길 19,-,중개거래,충북 청주시 상당구,25.04.03
72,충청북도 청주시 상당구 영운동,8-84,84,8,청운,59.04,51.3344,202503,18,"3,600",2,개인,개인,1984,수영로136번길 35,-,중개거래,충북 청주시 상당구,25.04.24
73,충청북도 청주시 상당구 대성동,1-88,88,1,대성,51.68,102.6,202503,12,"2,200",1,개인,개인,1986,대성로122번길 56,-,중개거래,충북 청주시 상당구,-
74,충청북도 청주시 상당구 금천동,5-52,52,5,"정원쉐르빌(A,B,C동)",45.6377,35.86,202503,11,"9,600",5,개인,개인,2014,꽃산동로 4-17,-,중개거래,충북 청주시 상당구,25.05.16
75,충청북도 청주시 상당구 용담동,1-87,87,1,로즈웰,53.5712,89.5988,202503,11,"15,500",1,개인,법인,2012,명암로 7-36,-,중개거래,충북 청주시 상당구,25.05.27
76,충청북도 청주시 상당구 용담동,1-87,87,1,로즈웰,59.2093,99.0286,202503,11,"17,700",3,개인,법인,2012,명암로 7-36,-,중개거래,충북 청주시 청원구,25.07.04
77,충청북도 청주시 상당구 탑동,95-22,95,22,트라움빌라A동,82.56,72.23,202503,5,"15,000",3,개인,개인,2014,산성로37번길 13,-,직거래,-,25.03.05
78,충청북도 청주시 상당구 미원면 내산리,120,120,0,"내산빌리지(A,B,C)",69.65,78.29,202503,4,"7,850",3,개인,개인,2013,내산길 18,-,직거래,-,25.04.22
79,충청북도 청주시 상당구 영운동,134-1,134,1,청남연립주택,53.9,75.5,202502,28,"3,450",1,개인,개인,1986,단재로77번길 20,-,중개거래,충북 청주시 상당구,25.03.31
