"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 청원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"54","충청북도 청주시 청원구 오창읍 양청리","810-2","0810","0002","오창롯데캐슬더하이스트","월세","70.9515","202510","28","4,000","115","22","2018","중부로 760","202601~202709","신규","-","","","아파트"
"55","충청북도 청주시 청원구 오창읍 주성리","564","0564","0000","사랑으로부영7단지","전세","57.7554","202510","28","12,357","0","5","2014","2산단4로 60","202510~202610","갱신","-","12,199","0","아파트"
"56","충청북도 청주시 청원구 오창읍 주성리","561","0561","0000","충북오창사랑으로부영8단지","전세","82.9434","202510","28","16,542","0","6","2015","2산단로 151","202511~202611","갱신","-","16,542","0","아파트"
"57","충청북도 청주시 청원구 율량동","1871","1871","0000","덕성","월세","105.8100","202510","28","13,500","12","2","1989","공항로 105","202511~202711","신규","-","","","아파트"
"58","충청북도 청주시 청원구 오창읍 각리","638-1","0638","0001","우림필유1차","전세","59.8600","202510","27","18,200","0","17","2006","오창중앙로 13","202512~202712","신규","-","","","아파트"
"59","충청북도 청주시 청원구 오창읍 각리","638-1","0638","0001","우림필유1차","전세","59.8600","202510","27","18,200","0","13","2006","오창중앙로 13","202511~202711","신규","-","","","아파트"
"60","충청북도 청주시 청원구 오창읍 복현리","98-2","0098","0002","수정","월세","59.8500","202510","27","1,000","60","4","1991","복현3길 27","202511~202711","신규","-","","","아파트"
"61","충청북도 청주시 청원구 오창읍 주성리","561","0561","0000","충북오창사랑으로부영8단지","전세","82.8216","202510","27","16,542","0","16","2015","2산단로 151","202511~202611","갱신","-","16,542","0","아파트"
"62","충청북도 청주시 청원구 오창읍 주성리","569","0569","0000","충북오창사랑으로부영6단지","전세","57.7554","202510","27","12,567","0","21","2014","2산단로 125","202510~202610","갱신","-","12,382","0","아파트"
"63","충청북도 청주시 청원구 오창읍 주성리","569","0569","0000","충북오창사랑으로부영6단지","전세","57.7554","202510","27","12,567","0","20","2014","2산단로 125","202510~202610","갱신","-","12,382","0","아파트"
"64","충청북도 청주시 청원구 오창읍 주성리","567","0567","0000","충북오창사랑으로부영5단지","전세","82.8216","202510","27","16,542","0","8","2015","2산단4로 20","202511~202611","갱신","-","16,542","0","아파트"
"65","충청북도 청주시 청원구 오창읍 주성리","567","0567","0000","충북오창사랑으로부영5단지","월세","82.8216","202510","27","8,538","33","14","2015","2산단4로 20","202511~202610","갱신","-","8,538","33","아파트"
"66","충청북도 청주시 청원구 오창읍 주성리","567","0567","0000","충북오창사랑으로부영5단지","전세","82.8216","202510","27","16,542","0","11","2015","2산단4로 20","202511~202611","갱신","-","16,542","0","아파트"
"67","충청북도 청주시 청원구 오창읍 주성리","564","0564","0000","사랑으로부영7단지","월세","57.7554","202510","27","5,587","28","7","2014","2산단4로 60","202512~202612","갱신","-","5,516","28","아파트"
"68","충청북도 청주시 청원구 오창읍 주성리","564","0564","0000","사랑으로부영7단지","전세","57.7554","202510","27","12,357","0","14","2014","2산단4로 60","202511~202611","갱신","-","12,199","0","아파트"
"69","충청북도 청주시 청원구 사천동","437","0437","0000","사천동아아파트","월세","84.7800","202510","27","2,000","70","3","1994","율봉로 31","202512~202712","신규","-","","","아파트"
"70","충청북도 청주시 청원구 율량동","1144","1144","0000","한울아파트301동","월세","30.3300","202510","26","300","35","8","1998","주성로96번길 12","202510~202710","신규","-","","","아파트"
"71","충청북도 청주시 청원구 율량동","863","0863","0000","럭키","월세","76.4850","202510","26","2,000","70","13","1991","충청대로 149","202511~202711","신규","-","","","아파트"
"72","충청북도 청주시 청원구 율량동","744","0744","0000","부강","월세","29.0800","202510","26","500","35","3","1993","공항로150번길 59","202510~202610","신규","-","","","아파트"
"73","충청북도 청주시 청원구 주중동","1023","1023","0000","대원칸타빌2차","전세","84.4300","202510","25","36,000","0","13","2014","율량로 77","202601~202801","신규","-","","","아파트"
"74","충청북도 청주시 청원구 오창읍 창리","161","0161","0000","오창모아미래도와이드파크","월세","59.9853","202510","25","2,000","90","10","2016","2산단4로 45","202510~202512","신규","-","","","아파트"
"75","충청북도 청주시 청원구 내덕동","422","0422","0000","신라","전세","84.9500","202510","25","9,000","0","5","1988","1순환로197번길 31","202511~202711","신규","-","","","아파트"
"76","충청북도 청주시 청원구 주성동","335","0335","0000","대원칸타빌1차아파트","전세","84.7980","202510","25","37,000","0","25","2013","율량로 103","202601~202801","신규","-","","","아파트"
"77","충청북도 청주시 청원구 오창읍 주성리","561","0561","0000","충북오창사랑으로부영8단지","전세","82.8216","202510","24","16,542","0","9","2015","2산단로 151","202511~202611","갱신","-","16,542","0","아파트"
"78","충청북도 청주시 청원구 율량동","1144","1144","0000","한울아파트301동","전세","30.3300","202510","24","4,000","0","10","1998","주성로96번길 12","202512~202712","신규","-","","","아파트"
"79","충청북도 청주시 청원구 오창읍 주성리","567","0567","0000","충북오창사랑으로부영5단지","월세","82.8216","202510","24","8,538","33","2","2015","2산단4로 20","202511~202611","갱신","-","8,538","33","아파트"
"80","충청북도 청주시 청원구 오창읍 주성리","564","0564","0000","사랑으로부영7단지","월세","57.7554","202510","24","5,587","28","7","2014","2산단4로 60","202512~202612","신규","-","","","아파트"
"81","충청북도 청주시 청원구 오창읍 주성리","569","0569","0000","충북오창사랑으로부영6단지","전세","57.7554","202510","24","12,567","0","5","2014","2산단로 125","202511~202611","갱신","-","12,382","0","아파트"
"82","충청북도 청주시 청원구 오창읍 주성리","561","0561","0000","충북오창사랑으로부영8단지","월세","82.8216","202510","23","5,283","45","2","2015","2산단로 151","202511~202611","갱신","-","5,283","45","아파트"
