□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(전월세),,,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 상당구,,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
95,충청북도 청주시 상당구 금천동,201-10,201,10,영일빌라,전세,45.4,202408,31,"4,100",0,3,1989,쇠내로59번길 83-1,202410~202610,신규,-,,,연립다세대
96,충청북도 청주시 상당구 용암동,668-3,668,3,MH맨션,전세,66.73,202408,24,"13,000",0,2,2017,용암로99번길 30,202409~202609,신규,-,,,연립다세대
97,충청북도 청주시 상당구 미원면 내산리,120-3,120,3,내산빌리지(D),월세,69.41,202408,20,"2,000",30,1,2014,내산길 22,202408~202608,갱신,-,"2,000",20,연립다세대
98,충청북도 청주시 상당구 영운동,145-63,145,63,하나아트빌B,월세,68.085,202408,17,"1,000",70,4,2012,수영로137번길 139,202409~202609,신규,-,,,연립다세대
99,충청북도 청주시 상당구 미원면 내산리,120,120,0,"내산빌리지(A,B,C)",월세,69.65,202408,13,600,50,4,2013,내산길 18,202408~202508,신규,-,,,연립다세대
100,충청북도 청주시 상당구 용암동,668-3,668,3,MH맨션,월세,69.44,202408,10,"3,000",70,2,2017,용암로99번길 30,202408~202608,신규,-,,,연립다세대
101,충청북도 청주시 상당구 대성동,1-88,88,1,대성,월세,51.68,202408,9,500,40,2,1986,대성로122번길 56,202408~202608,신규,-,,,연립다세대
102,충청북도 청주시 상당구 영운동,1-60,60,1,정원쉐르빌(102동),전세,48.88,202408,6,"9,100",0,5,2017,영운천로69번길 22-9,202408~202608,신규,-,,,연립다세대
103,충청북도 청주시 상당구 용담동,8-83,83,8,청우파스텔시티D,전세,65.08,202407,25,"10,500",0,4,2015,산성로 153,202409~202609,신규,-,,,연립다세대
104,충청북도 청주시 상당구 용담동,8-83,83,8,청우파스텔시티D,전세,65.08,202407,25,"10,500",0,4,2015,산성로 153,202409~202609,신규,-,,,연립다세대
